,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_SILENT
208,000708.SZ,000708,中信特钢,特种钢,27.1,True
209,000709.SZ,000709,河钢股份,普钢,2.47,True
210,000710.SZ,000710,贝瑞基因,医疗保健,34.45,True
211,000712.SZ,000712,锦龙股份,证券,15.71,True
212,000713.SZ,000713,丰乐种业,种植业,13.82,True
213,000715.SZ,000715,中兴商业,百货,4.52,True
214,000716.SZ,000716,黑芝麻,食品,3.15,True
215,000717.SZ,000717,韶钢松山,普钢,4.9,True
216,000718.SZ,000718,苏宁环球,区域地产,4.36,True
217,000719.SZ,000719,中原传媒,出版业,7.34,True
218,000720.SZ,000720,新能泰山,区域地产,3.83,True
219,000721.SZ,000721,西安饮食,酒店餐饮,4.63,True
220,000723.SZ,000723,美锦能源,焦炭加工,7.21,True
221,000725.SZ,000725,京东方A,元器件,6.02,True
222,000726.SZ,000726,鲁泰A,纺织,6.94,True
223,000728.SZ,000728,国元证券,证券,7.77,True
224,000729.SZ,000729,燕京啤酒,啤酒,7.13,True
225,000731.SZ,000731,四川美丰,农药化肥,4.82,True
226,000732.SZ,000732,泰禾集团,区域地产,3.41,True
227,000733.SZ,000733,振华科技,元器件,47.66,True
228,000735.SZ,000735,罗牛山,农业综合,8.34,True
229,000736.SZ,000736,中交地产,全国地产,6.71,True
230,000738.SZ,000738,航发控制,航空,17.6,True
231,000739.SZ,000739,普洛药业,化学制药,26.1,True
232,000750.SZ,000750,国海证券,证券,4.55,True
233,000751.SZ,000751,锌业股份,铅锌,3.48,True
234,000753.SZ,000753,漳州发展,汽车服务,2.77,True
235,000755.SZ,000755,山西路桥,公路,3.34,True
236,000756.SZ,000756,新华制药,化学制药,8.21,True
237,000757.SZ,000757,浩物股份,汽车配件,3.78,True
238,000759.SZ,000759,中百集团,超市连锁,5.66,True
239,000761.SZ,000761,本钢板材,普钢,3.27,True
240,000762.SZ,000762,西藏矿业,小金属,14.07,True
241,000766.SZ,000766,通化金马,化学制药,4.13,True
242,000768.SZ,000768,中航西飞,航空,25.31,True
243,000776.SZ,000776,广发证券,证券,15.61,True
244,000777.SZ,000777,中核科技,机械基件,13.06,True
245,000778.SZ,000778,新兴铸管,钢加工,4.18,True
246,000779.SZ,000779,甘咨询,建筑工程,9.56,True
247,000782.SZ,000782,美达股份,化纤,3.52,True
248,000783.SZ,000783,长江证券,证券,7.07,True
249,000785.SZ,000785,居然之家,百货,7.23,True
250,000786.SZ,000786,北新建材,其他建材,44.25,True
251,000788.SZ,000788,北大医药,化学制药,6.21,True
252,000789.SZ,000789,万年青,水泥,13.88,True
253,000790.SZ,000790,华神科技,中成药,4.25,True
254,000791.SZ,000791,甘肃电投,水力发电,4.79,True
255,000793.SZ,000793,华闻集团,出版业,2.27,True
256,000795.SZ,000795,英洛华,矿物制品,5.62,True
257,000796.SZ,000796,凯撒旅业,旅游服务,11.48,True
258,000797.SZ,000797,中国武夷,全国地产,3.01,True
259,000798.SZ,000798,中水渔业,渔业,9.07,True
260,000799.SZ,000799,酒鬼酒,白酒,133.77,True
261,000800.SZ,000800,一汽解放,汽车整车,11.11,True
262,000801.SZ,000801,四川九洲,通信设备,5.4,True
263,000802.SZ,000802,北京文化,影视音像,5.57,True
264,000803.SZ,000803,北清环能,电气设备,12.28,True
265,000809.SZ,000809,铁岭新城,区域地产,1.87,True
266,000810.SZ,000810,创维数字,家用电器,7.62,True
267,000811.SZ,000811,冰轮环境,工程机械,7.58,True
268,000812.SZ,000812,陕西金叶,广告包装,3.7,True
269,000813.SZ,000813,德展健康,化学制药,4.01,True
270,000815.SZ,000815,美利云,造纸,5.07,True
271,000816.SZ,000816,智慧农业,农用机械,3.33,True
272,000818.SZ,000818,航锦科技,化工原料,20.5,True
273,000819.SZ,000819,岳阳兴长,石油加工,6.3,True
274,000821.SZ,000821,京山轻机,轻工机械,7.09,True
275,000823.SZ,000823,超声电子,元器件,9.86,True
276,000826.SZ,000826,启迪环境,环境保护,6.47,True
277,000828.SZ,000828,东莞控股,路桥,9.71,True
278,000829.SZ,000829,天音控股,其他商业,5.98,True
279,000830.SZ,000830,鲁西化工,农药化肥,15.4,True
280,000831.SZ,000831,五矿稀土,小金属,20.68,True
281,000833.SZ,000833,粤桂股份,造纸,4.55,True
282,000836.SZ,000836,富通信息,通信设备,2.58,True
283,000838.SZ,000838,财信发展,区域地产,2.67,True
284,000839.SZ,000839,中信国安,综合类,2.17,True
285,000848.SZ,000848,承德露露,软饮料,6.37,True
286,000850.SZ,000850,华茂股份,纺织,3.92,True
287,000851.SZ,000851,高鸿股份,软件服务,5.87,True
288,000852.SZ,000852,石化机械,化工机械,4.47,True
289,000856.SZ,000856,冀东装备,机械基件,7.17,True
290,000858.SZ,000858,五粮液,白酒,262.41,True
291,000859.SZ,000859,国风塑业,塑料,5.09,True
292,000860.SZ,000860,顺鑫农业,白酒,45.67,True
293,000861.SZ,000861,海印股份,房产服务,2.26,True
294,000862.SZ,000862,银星能源,新型电力,4.8,True
295,000863.SZ,000863,三湘印象,区域地产,4.18,True
296,000869.SZ,000869,张裕A,红黄酒,30.8,True
297,000875.SZ,000875,吉电股份,火力发电,4.87,True
298,000876.SZ,000876,新希望,饲料,21.25,True
299,000878.SZ,000878,云南铜业,铜,14.38,True
300,000880.SZ,000880,潍柴重机,机械基件,9.45,True
301,000881.SZ,000881,中广核技,综合类,12.6,True
302,000882.SZ,000882,华联股份,其他商业,1.82,True
303,000883.SZ,000883,湖北能源,火力发电,3.96,True
304,000885.SZ,000885,城发环境,公路,9.87,True
305,000886.SZ,000886,海南高速,路桥,4.65,True
306,000887.SZ,000887,中鼎股份,橡胶,11.03,True
307,000888.SZ,000888,峨眉山A,旅游景点,6.64,True
308,000889.SZ,000889,中嘉博创,通信设备,6.49,True
309,000893.SZ,000893,亚钾国际,农药化肥,10.68,True
310,000895.SZ,000895,双汇发展,食品,40.67,True
311,000897.SZ,000897,津滨发展,区域地产,2.3,True
312,000898.SZ,000898,鞍钢股份,普钢,3.85,True
313,000899.SZ,000899,赣能股份,火力发电,5.96,True
314,000900.SZ,000900,现代投资,路桥,4.51,True
315,000901.SZ,000901,航天科技,汽车配件,8.16,True
316,000902.SZ,000902,新洋丰,农药化肥,19.18,True
317,000903.SZ,000903,云内动力,机械基件,4.13,True
318,000905.SZ,000905,厦门港务,港口,7.03,True
319,000906.SZ,000906,浙商中拓,批发业,6.82,True
320,000908.SZ,000908,景峰医药,化学制药,3.97,True
321,000909.SZ,000909,数源科技,综合类,7.11,True
322,000910.SZ,000910,大亚圣象,家居用品,14.91,True
323,000912.SZ,000912,泸天化,农药化肥,4.33,True
324,000913.SZ,000913,钱江摩托,摩托车,23.9,True
325,000915.SZ,000915,山大华特,化学制药,21.35,True
326,000917.SZ,000917,电广传媒,影视音像,4.76,True
327,000919.SZ,000919,金陵药业,化学制药,6.16,True
328,000920.SZ,000920,南方汇通,环境保护,6.93,True
329,000921.SZ,000921,海信家电,家用电器,14.9,True
330,000922.SZ,000922,佳电股份,电气设备,9.13,True
331,000923.SZ,000923,河钢资源,普钢,25.01,True
332,000925.SZ,000925,众合科技,专用机械,6.79,True
333,000926.SZ,000926,福星股份,区域地产,4.74,True
334,000928.SZ,000928,中钢国际,建筑工程,6.24,True
335,000930.SZ,000930,中粮科技,农业综合,8.97,True
336,000931.SZ,000931,中关村,生物制药,7.11,True
337,000935.SZ,000935,四川双马,水泥,14.27,True
338,000936.SZ,000936,华西股份,化纤,6.02,True
339,000937.SZ,000937,冀中能源,煤炭开采,3.65,True
340,000938.SZ,000938,紫光股份,软件服务,20.13,True
341,000948.SZ,000948,南天信息,软件服务,9.0,True
342,000949.SZ,000949,新乡化纤,化纤,4.59,True
343,000950.SZ,000950,重药控股,医药商业,5.05,True
344,000951.SZ,000951,中国重汽,汽车整车,37.43,True
345,000952.SZ,000952,广济药业,化学制药,7.12,True
346,000955.SZ,000955,欣龙控股,纺织,6.02,True
347,000957.SZ,000957,中通客车,汽车整车,6.79,True
348,000958.SZ,000958,东方能源,火力发电,4.84,True
349,000959.SZ,000959,首钢股份,普钢,4.49,True
350,000960.SZ,000960,锡业股份,小金属,13.6,True
351,000961.SZ,000961,中南建设,建筑工程,7.6,True
352,000962.SZ,000962,东方钽业,小金属,8.78,True
353,000963.SZ,000963,华东医药,化学制药,36.91,True
354,000965.SZ,000965,天保基建,区域地产,2.92,True
355,000967.SZ,000967,盈峰环境,环境保护,8.72,True
356,000968.SZ,000968,蓝焰控股,煤炭开采,6.3,True
357,000969.SZ,000969,安泰科技,钢加工,7.08,True
358,000970.SZ,000970,中科三环,元器件,10.21,True
