,ts_code,name,concept,COL_CONCEPT_COUNT
31,300024.SZ,机器人,"MSCI, 振兴东北, 回购, 中科院系, 宁德时代概念股, 智慧物流, 3D打印, 智能制造, 医疗器械, 人工智能, 工业互联网, 半导体, 高铁轨交, 机器人, 手势识别, ",15.0
32,002594.SZ,比亚迪,"MSCI, 新能源整车, 大消费, 汽车整车, 华为产业链, 业绩预增, 百度概念股, 光伏, 储能, 无人驾驶, 锂电池, 新能源汽车, 3D玻璃, 共享经济, 充电桩, ",15.0
33,002609.SZ,捷顺科技,"阿里巴巴概念股, 物联网, 高质押率, 智慧停车, 互联网金融, 移动支付, 大数据, 人工智能, 国产软件, 股权转让, 共享经济, 智慧安防, 独角兽, 蚂蚁金服概念股, 人脸识别, ",15.0
34,600100.SH,同方股份,"血制品, 太赫兹, 海绵城市, PPP, 移动支付, 大数据, 云计算, 无人商店, 智慧城市, 股权转让, 高校系, 智慧安防, LED, 创投, 电子车牌, ",15.0
35,000988.SZ,华工科技,"5G, 光通信, 华为产业链, 社保重仓, 工业自动化, 量子通信, 3D打印, 智能制造, 新能源汽车, 半导体, 无人商店, 智慧城市, 高校系, 独角兽, 创投, ",15.0
36,603660.SH,苏州科达,"教育, 物联网, 雄安-智慧城市, 量子通信, 智能制造, 雄安新区, 云计算, 人工智能, 无人商店, 智慧城市, 机器视觉, 智慧安防, 人脸识别, 电子车牌, ",14.0
37,600848.SH,上海临港,"电改, 特斯拉, 环杭州湾大湾区, 房地产, 小米概念股, 上海国企改革, 住房租赁, 自贸区, 智慧城市, 自由贸易港, 资产重组, 独角兽, 上海自由贸易港, 创投, ",14.0
38,002008.SZ,大族激光,"白马股, OLED, MSCI, 社保重仓, 大飞机, 回购, 宁德时代概念股, 无人驾驶, 3D打印, 智能制造, 半导体, 机器视觉, 机器人, LED, ",14.0
39,000851.SZ,高鸿股份,"阿里巴巴概念股, 央企改革, 物联网, 无人驾驶, 数字中国, 移动支付, 大数据, 云计算, 人工智能, 无人商店, 彩票, 滴滴出行概念股, 独角兽, 创投, ",14.0
40,000948.SZ,南天信息,"教育, 华为产业链, 业绩预增, 智能制造, 互联网金融, 移动支付, 大数据, 云计算, 智慧城市, 国产软件, 股权转让, 独角兽, 机器人, 人脸识别, ",14.0
41,600606.SH,绿地控股,"雄安-地产, MSCI, 金改, 旅游, 特色小镇, 房地产, 雄安新区, 互联网金融, 上海国企改革, 进口博览会, 足球, 京东金融概念股, 独角兽, 蚂蚁金服概念股, ",14.0
42,000735.SZ,罗牛山,"赛马, 教育, 转基因, 养猪, 业绩预增, 农垦, 土地流转, 海南自由贸易港, 冷链, 大数据, 自贸区, 自由贸易港, 体育产业, 海南, ",14.0
43,000687.SZ,华讯方舟,"碳纤维, 军工, 军民融合, 无人机, 雄安-智慧城市, 太赫兹, 燃料电池, 3D打印, 智能制造, 雄安新区, 京津冀, 大数据, VR&AR, 创投, ",14.0
44,600198.SH,*ST大唐,"5G, 阿里巴巴概念股, 国家队重仓, 央企改革, 物联网, 无人驾驶, 移动支付, 半导体, 智慧城市, 电竞, 国产芯片, 资产重组, ST股, 人脸识别, ",14.0
45,601360.SH,三六零,"MSCI, 北汽新能源, 空铁WiFi, 高质押率, 网络安全, 互联网金融, 大数据, 人工智能, 区块链, 工业互联网, 智慧城市, 国产软件, 智能音箱, 国产操作系统, ",14.0
46,000555.SZ,神州信息,"华为产业链, 物联网, 土地流转, 量子通信, 数字中国, 大数据, 云计算, 工业互联网, 智慧城市, 国产软件, 京东金融概念股, 独角兽, 年报季报, 科创板概念股, ",14.0
47,300287.SZ,飞利信,"教育, 物联网, 雄安-智慧城市, 雄安新区, 京津冀, 大数据, 药品信息化追溯, 云计算, 人工智能, 区块链, 智慧城市, 国产芯片, 国资入股, 智慧安防, ",14.0
48,002298.SZ,中电兴发,"回购, 军工, 军民融合, 无人机, 储能, PPP, 智能制造, 新能源汽车, 智慧城市, 股权转让, 共享经济, 智慧安防, 机器人, 充电桩, ",14.0
49,002544.SZ,杰赛科技,"5G, PCB板, 央企改革, 华为产业链, 军工研究所, 社保重仓, 军工, 军民融合, 物联网, 定增破发, 网络安全, 云计算, 高铁轨交, 知识产权, ",14.0
50,300044.SZ,赛为智能,"教育, 无人机, 智慧停车, 智能制造, 大数据, 云计算, 人工智能, 智慧城市, 腾讯概念股, 国资入股, 机器人, 游戏, 手游, 人脸识别, ",14.0
51,000566.SZ,海南海药,"业绩预增, 医药, 创新药, 化学药, 海南自由贸易港, 医疗器械, 自贸区, 互联网医疗, 自由贸易港, 国资入股, 资产重组, 独角兽, 海南, 科创板概念股, ",14.0
52,000100.SZ,TCL集团,"高股息, OLED, MSCI, 回购, 宁德时代概念股, 工业自动化, 家电, 小米概念股, 智能制造, 腾讯概念股, 黑色家电, 资产重组, 独角兽, 科创板概念股, ",14.0
53,000778.SZ,新兴铸管,"MSCI, 钢铁, 央企改革, 军工研究所, 有色金属, 业绩预增, 军工, 有色-镍, 雄安-建材, 地下管廊, 海绵城市, PPP, 雄安新区, 京津冀, ",14.0
54,000413.SZ,东旭光电,"OLED, MSCI, 新能源整车, 汽车整车, 华为产业链, 定增破发, 燃料电池, 智能制造, 新能源汽车, 石墨烯, 智慧城市, 3D玻璃, 机器人, ",13.0
55,603636.SH,南威软件,"业绩预增, 网络安全, 数字中国, 大数据, 云计算, 区块链, 智慧城市, 国产软件, 股权转让, 共享经济, 智慧安防, 独角兽, 蚂蚁金服概念股, ",13.0
56,000711.SZ,京蓝科技,"阿里巴巴概念股, 固废处理, 回购, 园林, 物联网, 雄安-园林环保, 海绵城市, PPP, 环保, 雄安新区, 大数据, 区块链, 智慧城市, ",13.0
57,600633.SH,浙数文化,"阿里巴巴概念股, 社保重仓, 回购, 浙江国企改革, 直播/短视频, 大数据, 云计算, 区块链, 电竞, 独角兽, 游戏, 手游, 体育产业, ",13.0
58,300496.SZ,中科创达,"华为产业链, 社保重仓, 中科院系, 无人机, 物联网, 百度概念股, 无人驾驶, 人工智能, 国产软件, VR&AR, 国产操作系统, 独角兽, 创投, ",13.0
59,601216.SH,君正集团,"烧碱, PVC, 内蒙古, 阿里巴巴概念股, 金改, 硅锰, 高质押率, 互联网金融, 快递物流, 彩票, 资产重组, 独角兽, 蚂蚁金服概念股, ",13.0
60,300098.SZ,高新兴,"社保重仓, 回购, 物联网, 无人驾驶, 智能制造, 人工智能, 无人商店, 智慧城市, 共享经济, 智慧安防, 机器人, 人脸识别, 电子车牌, ",13.0
61,002271.SZ,东方雨虹,"MSCI, 新进指数成份股, 社保重仓, 兜底式增持, 装配式建筑, 雄安-建材, 地下管廊, 水利, 海绵城市, PPP, 雄安新区, 京津冀, 装修装饰, ",13.0
62,002596.SZ,海南瑞泽,"赛马, 固废处理, 旅游, 园林, 特色小镇, 雄安-建材, 海南自由贸易港, PPP, 环保, 雄安新区, 自贸区, 自由贸易港, 海南, ",13.0
63,601607.SH,上海医药,"MSCI, 健康中国, 医药商业, 社保重仓, 保健品, 食品, 医药, 创新药, 化学药, 上海国企改革, 流感, 互联网医疗, 科创板概念股, ",13.0
64,000887.SZ,中鼎股份,"MSCI, 特斯拉, 蔚来汽车概念股, 回购, 无人机, 汽车零部件, 宁德时代概念股, 无人驾驶, 工业自动化, 智能制造, 新能源汽车, 独角兽, 充电桩, ",13.0
65,601727.SH,上海电气,"MSCI, 一带一路, 特斯拉, 核电, 风电, 光伏, 工业自动化, 智能制造, 上海国企改革, 新能源汽车, 高铁轨交, 独角兽, 充电桩, ",13.0
66,600150.SH,中国船舶,"南北船合并, 中字头, 海工装备, 混改, 军工混改, 央企改革, 军工研究所, 航母, 风电, 军工, 债转股-AMC, 复牌股, ST摘帽, ",13.0
67,002335.SZ,科华恒盛,"阿里巴巴概念股, 核电, 军工, 军民融合, 宁德时代概念股, 光伏, 储能, 量子通信, 新能源汽车, 大数据, 云计算, 充电桩, 透明工厂, ",13.0
68,002352.SZ,顺丰控股,"MSCI, 混改, 回购, 军工, 军民融合, 无人机, 智慧物流, 铁总混改, 小米概念股, 智能制造, 快递物流, 药品信息化追溯, 共享经济, ",13.0
69,002439.SZ,启明星辰,"MSCI, 美团概念股, 军工, 军民融合, 网络安全, 大数据, 云计算, 人工智能, 工业互联网, 智慧城市, 国产软件, 腾讯概念股, 国资入股, ",13.0
70,002431.SZ,棕榈股份,"教育, 旅游, 园林, 粤港澳大湾区, 雄安-园林环保, 特色小镇, 定增破发, PPP, 雄安新区, 足球, 股权转让, VR&AR, 国资入股, ",13.0
71,002369.SZ,卓翼科技,"华为产业链, 回购, 业绩预增, 物联网, 工业自动化, 小米概念股, 智能制造, 区块链, 苹果产业链, 资产重组, LED, 科创板概念股, 创投, ",13.0
72,000810.SZ,创维数字,"5G, OLED, 华为产业链, 业绩预增, 百度概念股, 高质押率, 家电, 半导体, 智能音箱, 黑色家电, 手游, 广电, 科创板概念股, ",13.0
