code,name,past_p_change,past_positive
000858,五 粮 液,-9.22253438783,★
300416,苏试试验,-9.2187087802,★
300311,任子行,-9.21206644117,★
600145,*ST新亿,-9.21009522689,★
002416,爱施德,-9.20858217696,★
603359,东珠景观,-9.20775166029,
000030,富奥股份,-9.20452887165,★
002385,大北农,-9.20063322383,★
300675,建科院,-9.19982419745,★
002613,北玻股份,-9.19960012585,★
002420,毅昌股份,-9.19744511066,
000568,泸州老窖,-9.19362594647,★
002884,凌霄泵业,-9.18850770206,★
000637,茂化实华,-9.18141381589,★
300159,新研股份,-9.17976473543,
002749,国光股份,-9.17012396273,★
002267,陕天然气,-9.16728893775,★
000662,天夏智慧,-9.16619147338,
600390,五矿资本,-9.15915618592,★
600108,亚盛集团,-9.14894023536,★
000795,英洛华,-9.14149627966,★
002301,齐心集团,-9.13994889865,
603589,口子窖,-9.13429428247,★
300352,北信源,-9.12597273663,
600387,海越股份,-9.1219327261,★
002230,科大讯飞,-9.1162133308,★
600718,东软集团,-9.11047901509,★
600132,重庆啤酒,-9.10925448744,★
600801,华新水泥,-9.10922705782,★
000750,国海证券,-9.10287667968,★
000848,承德露露,-9.09721820355,
000826,启迪桑德,-9.09186519204,★
603611,诺力股份,-9.08752039013,★
002057,中钢天源,-9.08733490924,★
603585,苏利股份,-9.08677311683,★
600618,氯碱化工,-9.06808054675,★
300005,探路者,-9.06449594031,
002499,科林环保,-9.06369870982,★
601880,大连港,-9.05266205815,★
300065,海兰信,-9.05104940838,
600755,厦门国贸,-9.04669570271,★
002827,高争民爆,-9.04451227539,★
000725,京东方Ａ,-9.0379347875,★
000663,永安林业,-9.03580701304,
300155,安居宝,-9.03561873969,
300249,依米康,-9.03509439389,★
600143,金发科技,-9.0278971225,
000876,新 希 望,-9.01936350285,★
002024,苏宁易购,-9.01562607599,★
300250,初灵信息,-8.99686821866,★
600640,号百控股,-8.99114421247,★
600086,东方金钰,-8.98672092985,
600199,金种子酒,-8.98489962078,★
600230,沧州大化,-8.97708905925,★
002587,奥拓电子,-8.97657076141,★
002403,爱仕达,-8.97310043919,★
603118,共进股份,-8.97052290045,★
600969,郴电国际,-8.96306618734,★
600169,太原重工,-8.96296100558,★
600064,南京高科,-8.95807849054,★
002444,巨星科技,-8.95729713003,★
600793,宜宾纸业,-8.95658145539,★
000021,深科技,-8.95469879017,★
300018,中元股份,-8.95229854147,★
002453,天马精化,-8.94460833204,
002635,安洁科技,-8.93884252987,
000665,湖北广电,-8.93521540872,★
000850,华茂股份,-8.93257358286,★
000960,锡业股份,-8.92866431846,★
002822,中装建设,-8.92742467537,★
300128,锦富技术,-8.92652212054,
600419,天润乳业,-8.90785024859,★
300305,裕兴股份,-8.90601626439,★
002535,林州重机,-8.9056235662,★
300439,美康生物,-8.90147967174,★
603928,兴业股份,-8.89461114948,★
603496,恒为科技,-8.88668629191,★
000625,长安汽车,-8.88498343572,
000598,兴蓉环境,-8.88301844482,★
300173,智慧松德,-8.8810883422,
300636,同和药业,-8.88010402913,★
600619,海立股份,-8.86301836519,★
600815,*ST厦工,-8.85049034171,★
002421,达实智能,-8.8475041862,★
600075,新疆天业,-8.83982813075,★
600909,华安证券,-8.83483787711,★
300377,赢时胜,-8.82309292977,★
300496,中科创达,-8.81230642213,★
002070,*ST众和,-8.81193583689,
002322,理工环科,-8.81151003896,★
600061,国投资本,-8.80455545303,
603606,东方电缆,-8.80095791783,★
300550,和仁科技,-8.79275418608,★
