code,name,past_p_change,past_positive,pe
603659,璞泰来,-17.970773846364562,,39.75
300278,华昌达,-17.890637404189725,,110.09
603699,纽威股份,-17.77466388415292,★,61.07
002517,恺英网络,-17.66468614328399,,21.73
603079,圣达生物,-17.651567873798236,,44.57
300143,星普医科,-17.56184335780382,,39.58
002661,克明面业,-17.301130663467735,,34.52
002437,誉衡药业,-17.296653744711154,,32.68
002113,天润数娱,-17.104215707590676,,329.37
600735,新华锦,-17.015897981100114,,52.9
603998,方盛制药,-16.4700618953896,,40.4
601360,三六零,-16.250157695800006,,5262.91
002508,老板电器,-16.184345327879424,,29.5
002143,印纪传媒,-16.16897911294799,,38.33
002538,司尔特,-15.949206397589888,,30.94
300290,荣科科技,-15.760401163618809,,139.68
603011,合锻智能,-15.523561604896019,★,77.94
002427,ST尤夫,-15.353178098463015,,38.96
002122,天马股份,-15.265617514908014,,202.19
300317,珈伟股份,-14.9500720295212,,28.03
603538,美诺华,-14.897672830216923,,56.48
601369,陕鼓动力,-14.893139424294045,,33.8
000737,*ST南风,-14.885012625657012,,0.0
002596,海南瑞泽,-14.811012031295533,★,79.2
300444,双杰电气,-14.789666311024641,,135.38
300090,盛运环保,-14.676783281142336,,2458.88
600512,腾达建设,-14.6561509764776,,33.23
300492,山鼎设计,-14.622783148977403,,345.09
002569,步森股份,-14.525496591109055,★,0.0
000606,神州易桥,-13.791473809213795,,0.0
002384,东山精密,-13.7570403372146,,56.33
600485,信威集团,-13.567001467049922,,74.33
300471,厚普股份,-13.269162167412462,★,37.68
002721,金一文化,-13.262259289224797,,106.89
000793,华闻传媒,-13.042147999598585,,29.15
002509,天广中茂,-13.001956706782048,,36.59
002662,京威股份,-12.997012922585437,,28.79
600148,长春一东,-12.818740703292342,,111.45
600069,银鸽投资,-12.409828834102388,,427.78
600682,南京新百,-12.408326054185249,,74.06
002413,雷科防务,-12.316552324856644,,92.83
300383,光环新网,-12.31355893478473,,44.01
600179,安通控股,-12.300225565037326,,50.66
002451,摩恩电气,-12.263343176476615,,214.14
000503,海虹控股,-12.195143915698159,★,0.0
002198,嘉应制药,-12.14225794007817,,288.56
000156,华数传媒,-12.10059708721517,,25.94
300495,美尚生态,-12.045542623370553,,30.43
000564,供销大集,-11.967180576269032,,20.84
300086,康芝药业,-11.83388159499874,,88.42
603843,正平股份,-11.760660358880692,,145.43
603058,永吉股份,-11.722052032835029,★,96.01
601998,中信银行,-11.720741410492263,,7.1
000511,*ST烯碳,-11.7202329061326,,0.0
600568,中珠医疗,-11.679814493729701,,38.6
600856,中天能源,-11.56881397324484,,28.22
300089,文化长城,-11.54046449446997,,54.07
300325,德威新材,-11.447774220544748,,121.24
600664,哈药股份,-11.395045492550382,★,33.02
603286,日盈电子,-11.31417298649765,★,74.69
603333,明星电缆,-11.213194941721783,,98.65
300410,正业科技,-11.200177425474301,★,34.6
603718,海利生物,-11.185163850660185,,53.46
600715,文投控股,-11.184685046413477,,60.46
600255,梦舟股份,-10.987531110586913,,109.23
300010,立思辰,-10.89876104597347,★,102.1
600290,华仪电气,-10.843513586954245,,190.08
000812,陕西金叶,-10.812744545840347,,380.05
600829,人民同泰,-10.73626614177986,★,25.57
002288,超华科技,-10.736089157982608,★,99.16
600076,康欣新材,-10.718543253715396,,14.17
600226,瀚叶股份,-10.702376380598565,,54.81
002512,达华智能,-10.585120094598832,,201.1
002103,广博股份,-10.498827446916659,,45.55
002592,八菱科技,-10.204394115832983,,46.02
000586,汇源通信,-10.099688748720181,,2495.14
603066,音飞储存,-10.059522598731174,,40.59
002260,德奥通航,-9.936943869659022,,0.0
300326,凯利泰,-9.934508367490269,,28.57
601619,嘉泽新能,-9.930870400379899,,89.15
002357,富临运业,-9.86782155466831,,20.59
002604,ST龙力,-9.810019939178616,,33.8
600803,新奥股份,-9.626169336101832,,29.25
002251,步 步 高,-9.523958855558924,,56.35
600614,鹏起科技,-9.483678010922103,,51.94
002739,万达电影,-9.4141056256836,★,36.25
600145,*ST新亿,-9.210095226893811,★,551.09
300159,新研股份,-9.179764735434171,,45.29
002301,齐心集团,-9.139948898651884,,52.0
300739,明阳电路,-9.108566794511619,,36.69
300237,美晨生态,-9.049836865700456,,23.56
600086,东方金钰,-8.986720929851499,,40.55
300580,贝斯特,-8.96144182843347,,29.94
300128,锦富技术,-8.926522120542923,,172.68
603028,赛福天,-8.919347545944856,★,64.67
000835,长城动漫,-8.883382515160609,,52.87
300173,智慧松德,-8.881088342204645,,65.47
603080,新疆火炬,-8.849057203975864,,70.81
300337,银邦股份,-8.635792742744252,,751.77
002692,睿康股份,-8.475911791170777,,104.81
002160,常铝股份,-8.318785161901253,,30.93
002622,融钰集团,-8.278392685514946,,258.48
002005,德豪润达,-8.21974582778935,,0.0
002037,久联发展,-8.141156930966108,★,43.7
603477,振静股份,-8.065744462685743,,45.91
600869,智慧能源,-8.042744156906378,,58.81
300157,恒泰艾普,-8.041777771306514,★,43.71
000930,中粮生化,-7.9943191314108875,★,44.78
300198,纳川股份,-7.847551086343996,,131.96
300640,德艺文创,-7.767182044549981,★,43.44
000533,万 家 乐,-7.755611300179699,★,208.06
