,ts_code,name,main_business,business_scope
784,002323.SZ,*ST百特,"主要产品:雅百特独有的可呼吸式移动金属节能屋面系统,自清洁屋面系统,直立锁边屋面系统,360度咬边屋面系统,太阳能分布式电站屋面系统等的相关服务",金属屋面、墙面围护系统新材料的设计、研发；软件开发；光伏分布式电站系统的安装调试；建筑工程设计、咨询；金属板及配套材料、五金产品(除电动三轮车)、光伏分布式电站系统组件的批发(不涉及国营贸易管理商品，涉及配额、许可证的，按国家相关规定申请办理)。
785,002324.SZ,普利特,"主营业务:汽车用改性塑料产品的生产,研发,销售和服务,主要产品包括:改性聚烯烃类(改性聚丙烯类),改性ABS类,塑料合金类(PC/ABS合金,PC/PBT合金,PC/PET合金等)以及其他类(改性尼龙,改性热塑性聚酯等)4大类.",生产销售电子材料、高分子材料、橡塑材料及制品，销售汽车配件、计算机及软件、机电设备、环保设备、建筑材料、金属材料，在化工材料专业领域内的“四技”服务，从事货物及技术进出口业务。(涉及行政许可的，凭许可证经营)。
786,002325.SZ,洪涛股份,"承接酒店,剧院会场,写字楼,图书馆,医院,体育场馆等公共装饰工程的设计及施工.",室内外装饰设计；建筑幕墙设计；建筑装饰装修工程施工；建筑幕墙工程施工；城市及道路照明工程施工；机电安装工程施工；智能化工程施工；消防设施工程施工；建筑幕墙、门窗、木制品及石材制品的研发、设计、生产加工、销售、安装(子公司、分支机构经营)；园林雕塑设计；家私配套、空调设备、不锈钢制品的设计安装；进出口贸易业务(按深贸管字第690号)；照明产品、电线电缆、建筑材料的购销；园林绿化工程的设计与施工；房屋出租；设计和工程咨询(不含限制项目)；股权投资(不含证券、保险、银行、金融业务、人才中介服务及其他限制项目);商品销售。
787,002326.SZ,永太科技,"主营业务:主要从事氟精细化学品的研发,生产和销售,主要产品类别包括液晶化学品,医药化学品,农药化学品和其他化学品.",经公司登记机关核准，公司的经营范围：农药(不含危险化学品)的销售(凭许可证经营)。有机中间体(不含危险化学品和易制毒化学品)及其副产物(异丙醇、三苯基氧膦、氯化锂、硫酸钾、25%氢溴酸、氯化钾、93%硫酸的销售)、机械设备制造和销售，生物技术、农药技术、化学品技术开发、技术咨询、技术服务、仪器仪表、化工产品(不含危险化学品和易制毒化学品)、矿产品(除专控)、石油制品(不含成品油及危险化学品)、电子产品原料及产品的销售，从事进出口业务。
788,002327.SZ,富安娜,"主要产品:以床上用品为主的家纺产品.主营业务:床上用品,家居用品和其他家纺产品的研发设计,生产工艺,品牌推广和营销渠道建设.",一般经营项目：新型纺织材料及其制品、床上用品、装饰布、衍缝制品及家居用品(不含专营、专控、专卖商品)、厨房设备、家具的销售；日常用品、床垫、纺织品、服装、玩具、灯具、厨房设备、洁具、家具和鞋类的销售；陶瓷制品、水暖器材、卫浴产品、建筑材料、装饰材料的销售、维修及其他国内商业、物资供销业；批发、零售(店铺另行报批)百货；投资；出租自有房屋；室内装修工程设计与安装(涉及配额许可证管理、专项规定管理的商品按国家有关规定办理)；经营进出口业务(法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营)。灯饰、木门等家居用品的研发、设计、生产、销售；电器、办公家具、五金制品的销售。计算机、光机电一体化产品、LED产品、电子产品、各种设备、装备、机械电子器具及其控制器的软硬件设计、技术开发、技术服务、销售；计算机系统设计；平面及立体设计，网页设计；计算机系统集成；计算机服务与技术咨询；智能网络控制系统设备的设计及安装；网络系统工程的设计与安装。许可经营项目：生产新型纺织材料及其制品、床上用品、装饰布、衍缝制品及家居用品(不含专营、专控、专卖商品)、厨房设备、家具；陶瓷制品、水暖器材、卫浴产品、建筑材料、装饰材料的生产。(最终具体内容以深圳市市场监督管理局审批结果为准)
789,002328.SZ,新朋股份,"主要产品:为乘用车专业提供汽车零部件开卷落料,大型覆盖件冲压,分总成焊接,小型金属零部件等.主营业务:汽车零部件,金属及通信部件的研发,生产及销售.",生产加工计算机网络集成柜、通信设备及部件(仅限分支机构经营)，生产加工汽车零部件、复印机零件、电脑配件、汽摩配件、电动工具、冷冲、塑料模具，销售建筑装潢材料、五金交电、金属材料(除专控)、日用百货、木材、精密金属零件、复印机，机械设备租赁，房屋租赁，物业管理，经营本企业自产产品的出口业务和本企业所需的机械设备、零配件、原辅材料的进口业务(但国家限定公司或禁止进出口的商品及技术除外，本企业包括本企业控股的成员企业)。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。
790,002329.SZ,皇氏集团,"主营业务为液态乳和液态乳制品的生产,加工,销售以及与此产业关联的奶牛养殖和牧草种植,主要产品以巴氏奶为主,包括营养价值高的水牛奶,南方特色鲜明的果奶和具有益生作用的发酵型酸奶.公司拥有的产品主要是液态奶产品",定型包装乳及乳制品(含不锈钢桶装)生产、加工和销售；蛋白饮料生产、加工和销售；批发、零售预包装食品、散装食品；禽畜的饲养、加工及销售；普通货物运输；国内商业贸易(国家有专项规定除外)；自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外；资产投资经营管理，企业策划、咨询服务；五金交电、矿产品、有色金属的销售(具备经营场所后方可开展经营活动，除国家专控外)。
791,002330.SZ,得利斯,"本公司主营业务为生猪屠宰,冷却肉及冷冻肉和低温肉制品的生产与销售.本公司主要产品包括:生肉制品与熟肉制品两大类别.",生产、加工和销售：低温肉制品、酱卤肉制品、发酵肉制品及其他肉制品；蛋制品、速冻面米食品、速冻肉制品及其他速冻食品、糕点、其他食品；饮料(蛋白饮料、其他饮料)、调味料、食用动物油脂(食用猪油)、动物副产品、食品机械及配件。货物进出口业务。批发、零售钢材、五金工具、预包装食品兼散装食品。(依法须经批准的项目，经相关部门批准后方可开展经营活动，有效期以许可证为准)
792,002331.SZ,皖通科技,"主要产品:高速公路应急电话,隧道广播和基于高速公路光纤系统开发出的光电相关教学仪器.主营业务:为高速公路,港口航运,城市智能交通等领域的行业用户提供集软件开发,系统集成和运行维护为一体的信息化产品和服务,军工电子信息业务.",计算机软件、硬件的开发、生产与销售；信息系统集成、信息处理与技术服务、技术转让与咨询；光机电一体化、视频网络与通讯系统工程，电视监控系统及交通机电工程的设计、施工、安装、维修；计算机修理；仪器仪表、电子产品、计算机及外围设备、文化办公用品、家用电器的销售。
793,002332.SZ,仙琚制药,"公司主营业务为甾体原料药和制剂的研制,生产与销售,主要产品分为皮质激素类药物,性激素类药物(妇科及计生用药)和麻醉与肌松类药物三大类.",许可经营项目：药品生产(具体生产范围见药品生产许可证)，医药中间体制造，化工产品(危险品经营业务详见《危险化学品经营许可证》)，有效期至2016年6月9日一般经营项目：五金交电、包装材料销售，技术服务，设备安装，进出口业务(详见外经贸部门批文)。
