code,name,past_5_p_change
600362,江西铜业,-16.2265186272
600985,雷鸣科化,-16.2054653441
300213,佳讯飞鸿,-16.095018062
002402,和而泰,-16.0944585413
002437,誉衡药业,-16.0848597202
300444,双杰电气,-16.0549784292
603699,纽威股份,-15.8652765338
300092,科新机电,-15.5775090162
603998,方盛制药,-15.5729724028
600875,东方电气,-15.5437510683
300089,文化长城,-15.5102029841
601155,新城控股,-15.4972697355
000663,永安林业,-15.4796500194
600889,南京化纤,-15.4735863715
300273,和佳股份,-15.4051271656
603398,邦宝益智,-15.3768378082
600803,XR新奥股,-15.3650384253
600735,新华锦,-15.3159735909
603429,集友股份,-15.304569131
600255,梦舟股份,-15.2646066784
600547,山东黄金,-15.2402907324
002321,华英农业,-15.1911769486
300612,宣亚国际,-15.1535668299
603306,华懋科技,-14.9864835026
601998,中信银行,-14.9719626469
601336,新华保险,-14.962179563
000018,神州长城,-14.9279424502
002445,中南文化,-14.8646002727
601800,中国交建,-14.8295961488
300410,正业科技,-14.7903089675
002122,天马股份,-14.7587701532
002128,露天煤业,-14.7476233686
000001,平安银行,-14.7055706164
601666,平煤股份,-14.6903115284
600074,ST保千里,-14.673604066
300247,乐金健康,-14.6249602367
000613,*ST东海A,-14.5990005767
002231,奥维通信,-14.525563662
601628,中国人寿,-14.3458528284
300737,科顺股份,-14.318580083
002113,天润数娱,-14.294763292
002427,ST尤夫,-14.2713059758
600682,南京新百,-14.254723315
002143,印纪传媒,-14.2010531528
600028,中国石化,-14.1551498403
600971,恒源煤电,-14.1538499379
600030,中信证券,-14.1289583671
600740,山西焦化,-14.1251966255
601699,潞安环能,-14.1033153785
002622,融钰集团,-14.0415476937
600241,时代万恒,-13.956257244
603778,乾景园林,-13.8352580893
600456,宝钛股份,-13.7515733977
300680,隆盛科技,-13.6673809336
002229,鸿博股份,-13.6439850153
000069,华侨城Ａ,-13.6379987692
603080,新疆火炬,-13.6262863756
603813,原尚股份,-13.5688704831
002168,深圳惠程,-13.5227159263
600383,金地集团,-13.4981432113
603028,赛福天,-13.4607430716
000959,首钢股份,-13.4385211634
000586,汇源通信,-13.4102784903
002209,达 意 隆,-13.3594442607
300167,迪威迅,-13.3249490091
002146,荣盛发展,-13.2935953588
601390,中国中铁,-13.2883242869
603260,合盛硅业,-13.2847580058
300477,合纵科技,-13.2789977757
002662,京威股份,-13.243653615
603226,菲林格尔,-13.2053815135
002509,天广中茂,-13.2039816405
002857,三晖电气,-13.1059611861
600856,中天能源,-13.0670646389
600325,华发股份,-13.0654880096
000060,中金岭南,-13.0574706179
000691,亚太实业,-12.9422181366
002669,康达新材,-12.8051662503
601001,大同煤业,-12.7913142936
601636,旗滨集团,-12.7865814481
000793,华闻传媒,-12.7629210937
600512,腾达建设,-12.710526319
600076,康欣新材,-12.7016937021
300128,锦富技术,-12.7006095719
603718,海利生物,-12.6964714464
002721,金一文化,-12.676424398
300435,中泰股份,-12.6336332425
601838,成都银行,-12.629660685
603444,吉比特,-12.6124343799
000732,泰禾集团,-12.587442699
601225,陕西煤业,-12.5863178252
600290,华仪电气,-12.5692422783
002278,神开股份,-12.4473882547
603538,美诺华,-12.4246843784
002684,猛狮科技,-12.4213647195
000659,*ST中富,-12.4033081388
601186,中国铁建,-12.3743601343
002306,*ST云网,-12.3469906212
000558,莱茵体育,-12.3308284444
600497,驰宏锌锗,-12.2872550995
600869,智慧能源,-12.262323476
603056,德邦股份,-12.2601119684
600528,中铁工业,-12.22746795
000606,神州易桥,-12.2144107104
601088,中国神华,-12.1445743963
002413,雷科防务,-12.1390906901
